iter	Passed	Remaining
183	294	1305
184	294	1298
185	295	1292
186	295	1286
187	296	1279
188	296	1273
189	297	1267
190	297	1261
191	298	1255
192	298	1250
193	299	1244
194	299	1238
195	300	1232
196	300	1226
197	301	1221
198	301	1215
199	302	1209
200	302	1204
201	303	1198
202	303	1193
203	304	1188
204	305	1183
205	305	1178
206	306	1174
207	307	1169
208	307	1164
209	308	1159
210	308	1155
211	309	1150
212	309	1145
213	310	1140
214	311	1136
215	311	1131
216	312	1127
217	312	1122
218	313	1117
219	314	1113
220	314	1108
221	315	1104
222	315	1099
223	316	1095
224	316	1090
225	317	1086
226	317	1081
227	318	1077
228	318	1072
229	319	1068
230	319	1064
231	320	1060
232	321	1056
233	321	1053
234	322	1049
235	322	1045
236	323	1041
237	324	1037
238	324	1033
239	325	1029
240	325	1025
241	326	1021
242	326	1017
243	327	1013
244	327	1009
245	328	1005
246	328	1001
247	329	997
248	329	993
249	329	989
250	330	986
251	330	982
252	331	978
253	331	975
254	332	971
255	333	967
256	333	964
257	334	960
258	334	957
259	335	954
260	335	950
261	336	947
262	337	944
263	337	941
264	338	938
265	338	935
266	339	931
267	339	928
268	340	925
269	340	921
270	341	918
271	341	915
272	342	912
273	343	909
274	343	905
275	344	902
276	344	899
277	345	896
278	345	893
279	346	890
280	346	887
281	347	884
282	347	881
283	348	877
284	348	874
285	349	872
286	349	869
287	350	866
288	351	863
289	351	861
290	352	858
291	353	856
292	353	853
293	354	850
294	354	847
295	355	844
296	355	841
297	356	839
298	356	836
299	357	833
300	357	830
301	358	827
302	358	825
303	359	822
304	359	819
305	360	816
306	360	814
307	361	811
308	361	808
309	362	806
310	362	803
311	363	800
312	363	798
313	364	795
314	364	793
315	365	791
316	366	789
317	366	786
318	367	784
319	367	781
320	368	779
321	369	777
322	369	774
323	370	772
324	370	770
325	371	767
326	371	765
327	372	762
328	372	760
329	373	758
330	373	755
331	374	753
332	374	750
333	375	748
334	375	746
335	376	743
336	376	741
337	377	739
338	377	736
339	378	734
340	378	732
341	379	730
342	380	727
343	380	725
344	381	723
345	381	721
346	382	719
347	383	717
348	383	715
349	384	713
350	384	711
351	385	709
352	386	707
353	386	705
354	387	703
355	387	701
356	388	699
357	388	697
358	389	695
359	390	693
360	390	691
361	391	689
362	391	687
363	392	685
364	392	682
365	393	680
366	393	678
367	394	677
368	394	675
369	395	673
370	395	671
371	396	669
372	397	667
373	397	665
374	398	664
375	398	662
376	399	660
377	399	658
378	400	656
379	400	654
380	401	652
381	401	650
382	402	648
383	403	646
384	403	644
385	404	642
386	404	640
387	405	638
388	405	637
389	406	635
390	406	633
391	407	631
392	407	629
393	408	627
394	408	625
395	409	623
396	409	622
397	410	620
398	410	618
399	411	616
400	411	615
401	412	613
402	413	611
403	413	610
404	414	608
405	414	606
406	414	604
407	415	602
408	415	601
409	416	599
410	416	597
411	417	595
412	417	594
413	418	592
414	418	590
415	419	588
416	419	587
417	420	585
418	420	583
419	421	581
420	421	580
421	422	578
422	423	577
423	423	575
424	424	573
425	424	572
426	425	570
427	425	568
428	426	567
429	426	565
430	427	564
431	428	562
432	428	561
433	429	559
434	429	558
435	430	556
436	430	554
437	431	553
438	431	551
439	432	550
440	432	548
441	433	546
442	433	545
443	434	543
444	434	541
445	435	540
446	435	538
447	436	537
448	436	535
449	437	534
450	437	532
451	438	531
452	438	529
453	439	528
454	439	526
455	440	525
456	440	523
457	441	522
458	442	520
459	442	519
460	443	518
461	443	516
462	444	515
463	444	513
464	445	512
465	445	510
466	446	509
467	446	507
468	447	506
469	447	504
470	448	503
471	448	502
472	449	500
473	449	499
474	450	497
475	450	496
476	451	494
477	451	493
478	452	492
479	452	490
480	453	489
481	453	487
482	454	486
483	454	485
484	455	483
485	455	482
486	456	480
487	457	479
488	457	478
489	458	476
490	458	475
491	459	474
492	459	472
493	460	471
494	460	470
495	461	468
496	461	467
497	462	466
498	462	464
499	463	463
500	463	462
501	464	460
502	464	459
503	465	458
504	466	456
505	466	455
506	467	454
507	467	452
508	468	451
509	468	450
510	469	448
511	469	447
512	470	446
513	470	445
514	471	443
515	471	442
516	472	441
517	473	440
518	473	438
519	474	437
520	474	436
521	475	435
522	475	433
523	476	432
524	476	431
525	477	429
526	477	428
527	478	427
528	478	426
529	479	424
530	479	423
531	480	422
532	480	421
533	481	419
534	481	418
535	482	417
536	482	416
537	483	415
538	483	413
539	484	412
540	484	411
541	485	410
542	485	408
543	486	407
544	486	406
545	487	405
546	488	404
547	488	403
548	489	401
549	489	400
550	490	399
551	490	398
552	491	397
553	491	395
554	492	394
555	492	393
556	493	392
557	493	391
558	494	390
559	494	388
560	495	387
561	495	386
562	496	385
563	496	384
564	497	382
565	497	381
566	498	380
567	498	379
568	499	378
569	499	377
570	500	376
571	500	374
572	501	373
573	502	372
574	502	371
575	503	370
576	503	369
577	504	368
578	504	367
579	505	366
580	505	364
581	506	363
582	507	362
583	507	361
584	508	360
585	508	359
586	509	358
587	509	357
588	510	356
589	510	354
590	511	353
591	511	352
592	512	351
593	512	350
594	513	349
595	513	348
596	514	347
597	514	346
598	515	345
599	515	343
600	516	342
601	516	341
602	517	340
603	518	339
604	518	338
605	519	337
606	519	336
607	520	335
608	520	334
609	521	333
610	521	332
611	522	331
612	523	330
613	523	329
614	524	328
615	524	327
616	525	326
617	525	324
618	526	323
619	526	322
620	527	321
621	527	320
622	528	319
623	528	318
624	529	317
625	529	316
626	530	315
627	530	314
628	531	313
629	531	312
630	532	311
631	533	310
632	533	309
633	534	308
634	534	307
635	535	306
636	535	305
637	536	304
638	536	303
639	537	302
640	537	301
641	538	300
642	538	299
643	539	298
644	539	297
645	540	296
646	540	295
647	541	294
648	541	293
649	542	292
650	542	291
651	543	290
652	543	289
653	544	288
654	544	286
655	545	285
656	545	284
657	546	283
658	546	282
659	547	282
660	548	281
661	548	280
662	549	279
663	550	278
664	550	277
665	551	276
666	551	275
667	552	274
668	552	273
669	553	272
670	553	271
671	554	270
672	554	269
673	555	268
674	555	267
675	556	266
676	556	265
677	557	264
678	557	263
679	558	262
680	558	261
681	559	260
682	559	259
683	560	258
684	560	257
685	561	256
686	561	255
687	562	254
688	562	253
689	563	253
690	563	252
691	564	251
692	564	250
693	565	249
694	566	248
695	566	247
696	567	246
697	567	245
698	568	244
699	568	243
700	569	242
701	569	241
702	570	240
703	570	239
704	571	238
705	571	238
706	572	237
707	572	236
708	573	235
709	573	234
710	574	233
711	574	232
712	575	231
713	575	230
714	576	229
715	576	228
716	577	227
717	577	226
718	578	225
719	578	225
720	579	224
721	579	223
722	580	222
723	581	221
724	581	220
725	581	219
726	582	218
727	583	217
728	583	216
729	584	216
730	584	215
731	585	214
732	585	213
733	585	212
734	586	211
735	587	210
736	587	209
737	588	208
738	588	207
739	589	206
740	589	206
741	590	205
742	590	204
743	591	203
744	591	202
745	592	201
746	592	200
747	593	199
748	593	199
749	594	198
750	594	197
751	595	196
752	596	195
753	596	194
754	597	193
755	597	192
756	598	192
757	599	191
758	599	190
759	600	189
760	600	188
761	601	187
762	601	186
763	602	186
764	602	185
765	603	184
766	603	183
767	604	182
768	604	181
769	605	180
770	606	179
771	606	179
772	607	178
773	607	177
774	608	176
775	608	175
776	609	174
777	609	174
778	610	173
779	611	172
780	611	171
781	612	170
782	612	169
783	613	168
784	613	168
785	614	167
786	614	166
787	615	165
788	615	164
789	616	163
790	616	162
791	617	162
792	617	161
793	618	160
794	618	159
795	619	158
796	619	157
797	620	156
798	620	156
799	621	155
800	621	154
801	622	153
802	622	152
803	623	151
804	623	151
805	624	150
806	625	149
807	625	148
808	626	147
809	626	147
810	627	146
811	627	145
812	628	144
813	628	143
814	629	142
815	629	142
816	630	141
817	630	140
818	631	139
819	631	138
820	632	137
821	632	137
822	633	136
823	633	135
824	634	134
825	634	133
826	635	132
827	635	132
828	636	131
829	636	130
830	637	129
831	638	128
832	638	128
833	639	127
834	639	126
835	640	125
836	640	124
837	641	124
838	642	123
839	642	122
840	643	121
841	643	120
842	644	119
843	644	119
844	645	118
845	645	117
846	646	116
847	646	115
848	647	115
849	647	114
850	648	113
851	648	112
852	649	111
853	649	111
854	650	110
855	650	109
856	651	108
857	651	107
858	652	107
859	652	106
860	653	105
861	653	104
862	654	103
863	655	103
864	655	102
865	656	101
866	656	100
867	657	99
868	657	99
869	658	98
870	658	97
871	659	96
872	659	95
873	660	95
874	660	94
875	661	93
876	661	92
877	662	92
878	662	91
879	663	90
880	663	89
881	664	88
882	664	88
883	665	87
884	665	86
885	666	85
886	666	84
887	667	84
888	668	83
889	668	82
890	669	81
891	669	81
892	670	80
893	670	79
894	671	78
895	671	77
896	672	77
897	672	76
898	673	75
899	673	74
900	674	74
901	674	73
902	675	72
903	675	71
904	676	71
905	676	70
906	677	69
907	677	68
908	678	67
909	679	67
910	679	66
911	680	65
912	680	64
913	681	64
914	681	63
915	682	62
916	682	61
917	683	61
918	683	60
919	684	59
920	685	58
921	685	58
922	686	57
923	686	56
924	687	55
925	687	54
926	688	54
927	688	53
928	689	52
929	689	51
930	690	51
931	690	50
932	691	49
933	691	48
934	692	48
935	692	47
936	693	46
937	693	45
938	694	45
939	694	44
940	695	43
941	695	42
942	696	42
943	696	41
944	697	40
945	697	39
946	698	39
947	699	38
948	699	37
949	700	36
950	700	36
951	701	35
952	701	34
953	702	33
954	703	33
955	703	32
956	704	31
957	704	30
958	705	30
959	705	29
960	706	28
961	706	27
962	707	27
963	707	26
964	708	25
965	708	24
966	709	24
967	709	23
968	710	22
969	710	21
970	711	21
971	711	20
972	712	19
973	712	19
974	713	18
975	713	17
976	714	16
977	714	16
978	715	15
979	716	14
980	716	13
981	717	13
982	717	12
983	718	11
984	718	10
985	719	10
986	719	9
987	720	8
988	720	8
989	721	7
990	721	6
991	722	5
992	723	5
993	723	4
994	724	3
995	724	2
996	725	2
997	725	1
998	726	0
999	726	0
